run_id,canonical_name,tag_original,n_files,total_mb,files,segmenter,segmenter_model,embedder,neighbor_window,vector_search_limit,expand_context,max_num_segments,bm25_fusion,reranker,answer_path,judge_model,judge_variant,answerer_model,group,repetition,INVALID,undecoded_tokens
R0039,R0039__unkseg__5nano-l__nb8,dchunk110-g5nl-nb8b-fb,2,119.05,locomo-dchunk110-g5nl-nb8b-fb.sqlite | locomo-dchunk110-g5nl-nb8b-fb.vec.sqlite,,gpt-5-nano,text-embedding-3-small 1536d (default),8,,,,none (default),enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations (full bench),,,
R0040,R0040__unkseg__5nano-l__nb8__v28e0l12__bm50__rerankoff,dchunk110-g5nl-nb8b-fb-v28-e0-rnullbmfa50-l12,2,4.57,eval-dchunk110-g5nl-nb8b-fb-v28-e0-rnullbmfa50-l12-seg-mini-mb-c14.json | search-dchunk110-g5nl-nb8b-fb-v28-e0-rnullbmfa50-l12-seg.json,,gpt-5-nano,text-embedding-3-small 1536d (default),8,28,0,12,"additive, weight 0.50",disabled (embedding similarity only),,gpt-5 (default),mem0-classic (default),,all 10 conversations (full bench),,,
R0041,R0041__unkseg__5nano-l__nb8__v28e0l9__bm50__rerankoff,dchunk110-g5nl-nb8b-fb-v28-e0-rnullbmfa50-l9,2,3.89,eval-dchunk110-g5nl-nb8b-fb-v28-e0-rnullbmfa50-l9-seg-mini-mb-c14.json | search-dchunk110-g5nl-nb8b-fb-v28-e0-rnullbmfa50-l9-seg.json,,gpt-5-nano,text-embedding-3-small 1536d (default),8,28,0,9,"additive, weight 0.50",disabled (embedding similarity only),,gpt-5 (default),mem0-classic (default),,all 10 conversations (full bench),,,
R0042,R0042__allt,deco-all_t,4,75.61,locomo-deco-all_t.sqlite | locomo-deco-all_t.vec.sqlite | log-eval-deco-all_t.out | log-search-deco-all_t.out,all_t,,text-embedding-3-small 1536d (default),,,,,none (default),enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,
R0043,R0043__allt__v28e0l10__bm50__rerankoff__tsshort,deco-all_t-v28-e0-rnullbmfa50-l10-tsshort,2,4.64,eval-deco-all_t-v28-e0-rnullbmfa50-l10-tsshort-seg-mini-mb-c14.json | search-deco-all_t-v28-e0-rnullbmfa50-l10-tsshort-seg.json,all_t,,text-embedding-3-small 1536d (default),,28,0,10,"additive, weight 0.50",disabled (embedding similarity only),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,
R0044,R0044__bm25c,deco-bm25_c,4,75.99,locomo-deco-bm25_c.sqlite | locomo-deco-bm25_c.vec.sqlite | log-eval-deco-bm25_c.out | log-search-deco-bm25_c.out,bm25_c,,text-embedding-3-small 1536d (default),,,,,none (default),enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,
R0045,R0045__bm25c__v28e0l10__bm50__rerankoff__tsshort,deco-bm25_c-v28-e0-rnullbmfa50-l10-tsshort,2,4.67,eval-deco-bm25_c-v28-e0-rnullbmfa50-l10-tsshort-seg-mini-mb-c14.json | search-deco-bm25_c-v28-e0-rnullbmfa50-l10-tsshort-seg.json,bm25_c,,text-embedding-3-small 1536d (default),,28,0,10,"additive, weight 0.50",disabled (embedding similarity only),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,
R0046,R0046__bm25cd,deco-bm25_cd,4,76.28,locomo-deco-bm25_cd.sqlite | locomo-deco-bm25_cd.vec.sqlite | log-eval-deco-bm25_cd.out | log-search-deco-bm25_cd.out,bm25_cd,,text-embedding-3-small 1536d (default),,,,,none (default),enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,
R0047,R0047__bm25cd__v28e0l10__bm50__rerankoff__tsshort,deco-bm25_cd-v28-e0-rnullbmfa50-l10-tsshort,2,4.69,eval-deco-bm25_cd-v28-e0-rnullbmfa50-l10-tsshort-seg-mini-mb-c14.json | search-deco-bm25_cd-v28-e0-rnullbmfa50-l10-tsshort-seg.json,bm25_cd,,text-embedding-3-small 1536d (default),,28,0,10,"additive, weight 0.50",disabled (embedding similarity only),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,
R0048,R0048__bm25mc,deco-bm25_mc,4,77.14,locomo-deco-bm25_mc.sqlite | locomo-deco-bm25_mc.vec.sqlite | log-eval-deco-bm25_mc.out | log-search-deco-bm25_mc.out,bm25_mc,,text-embedding-3-small 1536d (default),,,,,none (default),enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,
R0049,R0049__bm25mc__v28e0l10__bm50__rerankoff__tsshort,deco-bm25_mc-v28-e0-rnullbmfa50-l10-tsshort,2,4.67,eval-deco-bm25_mc-v28-e0-rnullbmfa50-l10-tsshort-seg-mini-mb-c14.json | search-deco-bm25_mc-v28-e0-rnullbmfa50-l10-tsshort-seg.json,bm25_mc,,text-embedding-3-small 1536d (default),,28,0,10,"additive, weight 0.50",disabled (embedding similarity only),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,
R0050,R0050__bm25mcd,deco-bm25_mcd,4,77.41,locomo-deco-bm25_mcd.sqlite | locomo-deco-bm25_mcd.vec.sqlite | log-eval-deco-bm25_mcd.out | log-search-deco-bm25_mcd.out,bm25_mcd,,text-embedding-3-small 1536d (default),,,,,none (default),enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,
R0051,R0051__bm25mcd__v28e0l10__bm50__rerankoff__tsshort,deco-bm25_mcd-v28-e0-rnullbmfa50-l10-tsshort,2,4.68,eval-deco-bm25_mcd-v28-e0-rnullbmfa50-l10-tsshort-seg-mini-mb-c14.json | search-deco-bm25_mcd-v28-e0-rnullbmfa50-l10-tsshort-seg.json,bm25_mcd,,text-embedding-3-small 1536d (default),,28,0,10,"additive, weight 0.50",disabled (embedding similarity only),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,
R0052,R0052__bm25terse,deco-bm25terse,3,75.78,locomo-deco-bm25terse.sqlite | locomo-deco-bm25terse.vec.sqlite | log-search-deco-bm25terse.txt,bm25terse,,text-embedding-3-small 1536d (default),,,,,none (default),enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,
R0053,R0053__bm25terse__v28e0l10__bm50__rerankoff__tsshort,deco-bm25terse-v28-e0-rnullbmfa50-l10-tsshort,3,5.04,eval-deco-bm25terse-v28-e0-rnullbmfa50-l10-tsshort-seg-mini-mb-c14.json | log-eval-deco-bm25terse-v28-e0-rnullbmfa50-l10-tsshort-seg.txt | search-deco-bm25terse-v28-e0-rnullbmfa50-l10-tsshort-seg.json,bm25terse,,text-embedding-3-small 1536d (default),,28,0,10,"additive, weight 0.50",disabled (embedding similarity only),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,
R0054,R0054__coupledM,deco-coupledM,3,76.91,locomo-deco-coupledM.sqlite | locomo-deco-coupledM.vec.sqlite | log-search-deco-coupledM.txt,coupledM,,text-embedding-3-small 1536d (default),,,,,none (default),enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,
R0055,R0055__coupledM__v28e0l10__bm50__rerankoff__tsshort,deco-coupledM-v28-e0-rnullbmfa50-l10-tsshort,3,5.72,eval-deco-coupledM-v28-e0-rnullbmfa50-l10-tsshort-seg-mini-mb-c14.json | log-eval-deco-coupledM-v28-e0-rnullbmfa50-l10-tsshort-seg.txt | search-deco-coupledM-v28-e0-rnullbmfa50-l10-tsshort-seg.json,coupledM,,text-embedding-3-small 1536d (default),,28,0,10,"additive, weight 0.50",disabled (embedding similarity only),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,
R0056,R0056__coupledMsimple,deco-coupledMsimple,3,74.61,locomo-deco-coupledMsimple.sqlite | locomo-deco-coupledMsimple.vec.sqlite | log-search-deco-coupledMsimple.txt,coupledMsimple,,text-embedding-3-small 1536d (default),,,,,none (default),enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,
R0057,R0057__coupledMsimple__v28e0l10__bm50__rerankoff__tsshort,deco-coupledMsimple-v28-e0-rnullbmfa50-l10-tsshort,3,5.67,eval-deco-coupledMsimple-v28-e0-rnullbmfa50-l10-tsshort-seg-mini-mb-c14.json | log-eval-deco-coupledMsimple-v28-e0-rnullbmfa50-l10-tsshort-seg.txt | search-deco-coupledMsimple-v28-e0-rnullbmfa50-l10-tsshort-seg.json,coupledMsimple,,text-embedding-3-small 1536d (default),,28,0,10,"additive, weight 0.50",disabled (embedding similarity only),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,
R0058,R0058__unkseg,deco-cur,4,76.34,locomo-deco-cur.sqlite | locomo-deco-cur.vec.sqlite | log-eval-deco-cur.out | log-search-deco-cur.out,,,text-embedding-3-small 1536d (default),,,,,none (default),enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,
R0059,R0059__unkseg__rep2,deco-cur-rep2,2,4.17,log-eval-deco-cur-rep2.out | log-search-deco-cur-rep2.out,,,text-embedding-3-small 1536d (default),,,,,none (default),enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,2,,
R0060,R0060__unkseg__v28e0l10__bm50__rerankoff__tsshort__rep2,deco-cur-rep2-v28-e0-rnullbmfa50-l10-tsshort,2,4.72,eval-deco-cur-rep2-v28-e0-rnullbmfa50-l10-tsshort-seg-mini-mb-c14.json | search-deco-cur-rep2-v28-e0-rnullbmfa50-l10-tsshort-seg.json,,,text-embedding-3-small 1536d (default),,28,0,10,"additive, weight 0.50",disabled (embedding similarity only),,gpt-5 (default),mem0-classic (default),,all 10 conversations,2,,
R0061,R0061__unkseg__rep3,deco-cur-rep3,2,4.16,log-eval-deco-cur-rep3.out | log-search-deco-cur-rep3.out,,,text-embedding-3-small 1536d (default),,,,,none (default),enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,3,,
R0062,R0062__unkseg__v28e0l10__bm50__rerankoff__tsshort__rep3,deco-cur-rep3-v28-e0-rnullbmfa50-l10-tsshort,2,4.72,eval-deco-cur-rep3-v28-e0-rnullbmfa50-l10-tsshort-seg-mini-mb-c14.json | search-deco-cur-rep3-v28-e0-rnullbmfa50-l10-tsshort-seg.json,,,text-embedding-3-small 1536d (default),,28,0,10,"additive, weight 0.50",disabled (embedding similarity only),,gpt-5 (default),mem0-classic (default),,all 10 conversations,3,,
R0063,R0063__unkseg__rep4,deco-cur-rep4,2,4.16,log-eval-deco-cur-rep4.out | log-search-deco-cur-rep4.out,,,text-embedding-3-small 1536d (default),,,,,none (default),enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,4,,
R0064,R0064__unkseg__v28e0l10__bm50__rerankoff__tsshort__rep4,deco-cur-rep4-v28-e0-rnullbmfa50-l10-tsshort,2,4.71,eval-deco-cur-rep4-v28-e0-rnullbmfa50-l10-tsshort-seg-mini-mb-c14.json | search-deco-cur-rep4-v28-e0-rnullbmfa50-l10-tsshort-seg.json,,,text-embedding-3-small 1536d (default),,28,0,10,"additive, weight 0.50",disabled (embedding similarity only),,gpt-5 (default),mem0-classic (default),,all 10 conversations,4,,
R0065,R0065__unkseg__rep5,deco-cur-rep5,2,4.17,log-eval-deco-cur-rep5.out | log-search-deco-cur-rep5.out,,,text-embedding-3-small 1536d (default),,,,,none (default),enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,5,,
R0066,R0066__unkseg__v28e0l10__bm50__rerankoff__tsshort__rep5,deco-cur-rep5-v28-e0-rnullbmfa50-l10-tsshort,2,4.73,eval-deco-cur-rep5-v28-e0-rnullbmfa50-l10-tsshort-seg-mini-mb-c14.json | search-deco-cur-rep5-v28-e0-rnullbmfa50-l10-tsshort-seg.json,,,text-embedding-3-small 1536d (default),,28,0,10,"additive, weight 0.50",disabled (embedding similarity only),,gpt-5 (default),mem0-classic (default),,all 10 conversations,5,,
R0067,R0067__unkseg__rep6,deco-cur-rep6,2,4.14,log-eval-deco-cur-rep6.out | log-search-deco-cur-rep6.out,,,text-embedding-3-small 1536d (default),,,,,none (default),enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,6,,
R0068,R0068__unkseg__v28e0l10__bm50__rerankoff__tsshort__rep6,deco-cur-rep6-v28-e0-rnullbmfa50-l10-tsshort,2,4.7,eval-deco-cur-rep6-v28-e0-rnullbmfa50-l10-tsshort-seg-mini-mb-c14.json | search-deco-cur-rep6-v28-e0-rnullbmfa50-l10-tsshort-seg.json,,,text-embedding-3-small 1536d (default),,28,0,10,"additive, weight 0.50",disabled (embedding similarity only),,gpt-5 (default),mem0-classic (default),,all 10 conversations,6,,
R0069,R0069__unkseg__rep7,deco-cur-rep7,2,4.15,log-eval-deco-cur-rep7.out | log-search-deco-cur-rep7.out,,,text-embedding-3-small 1536d (default),,,,,none (default),enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,7,,
R0070,R0070__unkseg__v28e0l10__bm50__rerankoff__tsshort__rep7,deco-cur-rep7-v28-e0-rnullbmfa50-l10-tsshort,2,4.71,eval-deco-cur-rep7-v28-e0-rnullbmfa50-l10-tsshort-seg-mini-mb-c14.json | search-deco-cur-rep7-v28-e0-rnullbmfa50-l10-tsshort-seg.json,,,text-embedding-3-small 1536d (default),,28,0,10,"additive, weight 0.50",disabled (embedding similarity only),,gpt-5 (default),mem0-classic (default),,all 10 conversations,7,,
R0071,R0071__unkseg__v28e0l10__bm50__rerankoff__tsshort,deco-cur-v28-e0-rnullbmfa50-l10-tsshort,2,4.7,eval-deco-cur-v28-e0-rnullbmfa50-l10-tsshort-seg-mini-mb-c14.json | search-deco-cur-v28-e0-rnullbmfa50-l10-tsshort-seg.json,,,text-embedding-3-small 1536d (default),,28,0,10,"additive, weight 0.50",disabled (embedding similarity only),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,
R0072,R0072__unkseg__embabltexttoembedaddit,deco-e_c,2,69.85,locomo-deco-e_c.sqlite | locomo-deco-e_c.vec.sqlite,,,text-embedding-3-small 1536d (default),,,,,none (default),enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,
R0073,R0073__unkseg__embabltexttoembedaddit__v28e0l10__bm50__rerankoff__tsshort,deco-e_c-v28-e0-rnullbmfa50-l10-tsshort,2,4.56,eval-deco-e_c-v28-e0-rnullbmfa50-l10-tsshort-seg-mini-mb-c14.json | search-deco-e_c-v28-e0-rnullbmfa50-l10-tsshort-seg.json,,,text-embedding-3-small 1536d (default),,28,0,10,"additive, weight 0.50",disabled (embedding similarity only),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,
R0074,R0074__c14json__embabltexttoembedaddit__v28e0l10__bm50__rerankoff__j5mini__mem0bench__tsshort,deco-e_c-v28-e0-rnullbmfa50-l10-tsshort-seg-mini-mb-c14.json,1,0.3,log-eval-deco-e_c-v28-e0-rnullbmfa50-l10-tsshort-seg-mini-mb-c14.json.out,c14.json,,text-embedding-3-small 1536d (default),,28,0,10,"additive, weight 0.50",disabled (embedding similarity only),segment context (string_from_segment_context; correct path),gpt-5-mini,mem0-bench,,all 10 conversations,,,
R0075,R0075__segjson__embabltexttoembedaddit__v28e0l10__bm50__rerankoff__tsshort,deco-e_c-v28-e0-rnullbmfa50-l10-tsshort-seg.json,1,3.71,log-search-deco-e_c-v28-e0-rnullbmfa50-l10-tsshort-seg.json.out,seg.json,,text-embedding-3-small 1536d (default),,28,0,10,"additive, weight 0.50",disabled (embedding similarity only),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,
R0076,R0076__unkseg__embabltexttoembedaddit,deco-e_m,2,69.73,locomo-deco-e_m.sqlite | locomo-deco-e_m.vec.sqlite,,,text-embedding-3-small 1536d (default),,,,,none (default),enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,
R0077,R0077__unkseg__embabltexttoembedaddit__v28e0l10__bm50__rerankoff__tsshort,deco-e_m-v28-e0-rnullbmfa50-l10-tsshort,2,4.58,eval-deco-e_m-v28-e0-rnullbmfa50-l10-tsshort-seg-mini-mb-c14.json | search-deco-e_m-v28-e0-rnullbmfa50-l10-tsshort-seg.json,,,text-embedding-3-small 1536d (default),,28,0,10,"additive, weight 0.50",disabled (embedding similarity only),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,
R0078,R0078__c14json__embabltexttoembedaddit__v28e0l10__bm50__rerankoff__j5mini__mem0bench__tsshort,deco-e_m-v28-e0-rnullbmfa50-l10-tsshort-seg-mini-mb-c14.json,1,0.3,log-eval-deco-e_m-v28-e0-rnullbmfa50-l10-tsshort-seg-mini-mb-c14.json.out,c14.json,,text-embedding-3-small 1536d (default),,28,0,10,"additive, weight 0.50",disabled (embedding similarity only),segment context (string_from_segment_context; correct path),gpt-5-mini,mem0-bench,,all 10 conversations,,,
R0079,R0079__segjson__embabltexttoembedaddit__v28e0l10__bm50__rerankoff__tsshort,deco-e_m-v28-e0-rnullbmfa50-l10-tsshort-seg.json,1,3.73,log-search-deco-e_m-v28-e0-rnullbmfa50-l10-tsshort-seg.json.out,seg.json,,text-embedding-3-small 1536d (default),,28,0,10,"additive, weight 0.50",disabled (embedding similarity only),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,
R0080,R0080__unkseg__embabltexttoembedaddit,deco-e_mc,2,70.9,locomo-deco-e_mc.sqlite | locomo-deco-e_mc.vec.sqlite,,,text-embedding-3-small 1536d (default),,,,,none (default),enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,
R0081,R0081__unkseg__embabltexttoembedaddit__v28e0l10__bm50__rerankoff__tsshort,deco-e_mc-v28-e0-rnullbmfa50-l10-tsshort,2,4.64,eval-deco-e_mc-v28-e0-rnullbmfa50-l10-tsshort-seg-mini-mb-c14.json | search-deco-e_mc-v28-e0-rnullbmfa50-l10-tsshort-seg.json,,,text-embedding-3-small 1536d (default),,28,0,10,"additive, weight 0.50",disabled (embedding similarity only),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,
R0082,R0082__c14json__embabltexttoembedaddit__v28e0l10__bm50__rerankoff__j5mini__mem0bench__tsshort,deco-e_mc-v28-e0-rnullbmfa50-l10-tsshort-seg-mini-mb-c14.json,1,0.29,log-eval-deco-e_mc-v28-e0-rnullbmfa50-l10-tsshort-seg-mini-mb-c14.json.out,c14.json,,text-embedding-3-small 1536d (default),,28,0,10,"additive, weight 0.50",disabled (embedding similarity only),segment context (string_from_segment_context; correct path),gpt-5-mini,mem0-bench,,all 10 conversations,,,
R0083,R0083__segjson__embabltexttoembedaddit__v28e0l10__bm50__rerankoff__tsshort,deco-e_mc-v28-e0-rnullbmfa50-l10-tsshort-seg.json,1,3.79,log-search-deco-e_mc-v28-e0-rnullbmfa50-l10-tsshort-seg.json.out,seg.json,,text-embedding-3-small 1536d (default),,28,0,10,"additive, weight 0.50",disabled (embedding similarity only),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,
